claim_start_date,claim_status,condition_category,claim_id,tenure,exposure_id,claim_paid,total_claim_amount,,unique_ID,row_id,UW_Date,exposure_id,tenure,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,exposure_id_1,row_num,earned_units,,check
3/5/2024 0:00,covered_paid,Ingestion,claim_02ca5515-a142-427d-ac7e-e68254d299b8,2,exposure_51ad92fd-76a5-4add-b916-b900e9ae1e51,392.8090909,527.3636364,,2exposure_51ad92fd-76a5-4add-b916-b900e9ae1e51,17375,45413,exposure_51ad92fd-76a5-4add-b916-b900e9ae1e51,2,male,FALSE,0,0,45377.70833,2,90,100,House,Chatswood,2067,NSW,31990,90100,0-6 months,36,1,2,purebred,spitz related,shiba inu,shiba inu,FALSE,0,45377.8257,Evening (18:00 - 23:59),exposure_51ad92fd-76a5-4add-b916-b900e9ae1e51,1,1,,
31/8/2024 0:00,covered_with_exclusions_paid,Ingestion,claim_02ce9759-4c11-4927-b6d7-96411a143bd4,0,exposure_ba8c479f-4e13-4af9-88f2-3e5d7e0f82e1,453.6818182,686.9181818,,0exposure_ba8c479f-4e13-4af9-88f2-3e5d7e0f82e1,38617,45505,exposure_ba8c479f-4e13-4af9-88f2-3e5d7e0f82e1,0,female,FALSE,0,FALSE,45521.70833,3,90,100,House,Lysterfield,3156,VIC,31659,90100,0-6 months,37,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,45522.90173,Evening (18:00 - 23:59),exposure_ba8c479f-4e13-4af9-88f2-3e5d7e0f82e1,1,0.451612903,,
16/5/2024 0:00,covered_paid,Other,claim_02d552b4-c960-4220-88b9-0e1296935a10,5,exposure_24f6957d-14ff-4512-8893-c90796491939,2907.636364,3634.545455,,5exposure_24f6957d-14ff-4512-8893-c90796491939,14580,45413,exposure_24f6957d-14ff-4512-8893-c90796491939,5,male,FALSE,0,0,45261.70833,59,80,100,House,Banksia Beach,4507,QLD,27982,80100,4 years,47,1,3,purebred,brachycephalic,american staffordshire terrier,american staffordshire terrier,FALSE,0,45262.56958,Afternoon (12:00 - 17:59),exposure_24f6957d-14ff-4512-8893-c90796491939,1,1,,
8/8/2024 0:00,covered_paid,Routine Care and Examinations,claim_02e2cb40-65e9-4c6a-b25b-799d06c0f7a4,3,exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,589.2363636,736.5454545,,3exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,41194,45505,exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,3,male,FALSE,0,FALSE,45441.70833,2,80,100,House,Thornbury,3071,VIC,34964,80100,0-6 months,28,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,45441.76288,Evening (18:00 - 23:59),exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,1,1,,
8/8/2024 0:00,covered_paid,Eyes & ears,claim_02e2cb40-65e9-4c6a-b25b-799d06c0f7a4,3,exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,0,82.96363636,,3exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,41194,45505,exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,3,male,FALSE,0,FALSE,45441.70833,2,80,100,House,Thornbury,3071,VIC,34964,80100,0-6 months,28,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,45441.76288,Evening (18:00 - 23:59),exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,1,1,,
8/8/2024 0:00,covered_paid,Eyes & ears,claim_02e2cb40-65e9-4c6a-b25b-799d06c0f7a4,3,exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,469.2363636,677.4545455,,3exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,41194,45505,exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,3,male,FALSE,0,FALSE,45441.70833,2,80,100,House,Thornbury,3071,VIC,34964,80100,0-6 months,28,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,45441.76288,Evening (18:00 - 23:59),exposure_99d1ec44-b974-40e4-97f6-c80d39a64e84,1,1,,
1/7/2024 0:00,covered_with_exclusions_paid,Gastrointestinal Issues,claim_02ec4c88-cd3c-4648-841b-6851a5f00fd1,6,exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,0,114.0909091,,6exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,29351,45474,exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,6,female,FALSE,0,0,45291.70833,8,90,100,House,Molendinar,4214,QLD,30378,90100,7-12 months,40,1,3,designerbreed,water dog,groodle,groodle,FALSE,0,45292.81642,Evening (18:00 - 23:59),exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,1,1,,
1/7/2024 0:00,covered_with_exclusions_paid,Eyes & ears,claim_02ec4c88-cd3c-4648-841b-6851a5f00fd1,6,exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,30.68181818,34.09090909,,6exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,29351,45474,exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,6,female,FALSE,0,0,45291.70833,8,90,100,House,Molendinar,4214,QLD,30378,90100,7-12 months,40,1,3,designerbreed,water dog,groodle,groodle,FALSE,0,45292.81642,Evening (18:00 - 23:59),exposure_fa9b5755-0c4c-4357-b455-bee009922e0b,1,1,,
1/7/2024 0:00,covered_paid,Eyes & ears,claim_02ef798e-01b9-4e24-8aba-d3d4d8e31c18,4,exposure_6630abcb-f59b-4c86-b3dd-67047ff7ecd4,130.4727273,163.0909091,,4exposure_6630abcb-f59b-4c86-b3dd-67047ff7ecd4,26081,45474,exposure_6630abcb-f59b-4c86-b3dd-67047ff7ecd4,4,male,FALSE,0,0,45365.70833,6,80,0,House,Baldivis,6171,WA,25033,800,0-6 months,55,1,3,unnamed cross,unknown,bull terrier cross,bull terrier cross,FALSE,0,45365.89476,Evening (18:00 - 23:59),exposure_6630abcb-f59b-4c86-b3dd-67047ff7ecd4,1,1,,
29/4/2024 0:00,covered_paid,Other,claim_02fd543f-c5cf-4972-80c7-d9e3f67a5af1,2,exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874,152.1454545,190.1818182,,2exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874,12172,45383,exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874,2,female,FALSE,0,0,45341.70833,2,80,100,House,Rouse Hill,2155,NSW,33574,80100,0-6 months,32,1,3,purebred,spitz related,chow chow,chow chow,FALSE,0,45342.85712,Evening (18:00 - 23:59),exposure_009fcae0-ebb0-44a7-b93d-a2b265ab1874,1,1,,
