Australian Bureau of Statistics,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA4_CODE_2011,SA4_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2190,2190,119,Sydney - Inner South West,1.0,99.9999953,,,,,,,
2191,2191,119,Sydney - Inner South West,1.0,99.9999976,,,,,,,
2192,2192,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2193,2193,119,Sydney - Inner South West,0.2894533,28.9453256,,,,,,,
2193,2193,120,Sydney - Inner West,0.7105467,71.0546744,,,,,,,
2194,2194,119,Sydney - Inner South West,1.0,99.9999988,,,,,,,
2195,2195,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2196,2196,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2197,2197,119,Sydney - Inner South West,0.9848768,98.4876789,,,,,,,
2197,2197,125,Sydney - Parramatta,0.0151232,1.5123211,,,,,,,
2198,2198,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2199,2199,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2200,2200,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2203,2203,117,Sydney - City and Inner South,0.0062035,0.6203495,,,,,,,
2203,2203,120,Sydney - Inner West,0.9937965,99.3796505,,,,,,,
2204,2204,117,Sydney - City and Inner South,0.9985286,99.8528626,,,,,,,
2204,2204,119,Sydney - Inner South West,0.000377,0.0376982,,,,,,,
2204,2204,120,Sydney - Inner West,0.0010944,0.1094393,,,,,,,
2205,2205,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2206,2206,119,Sydney - Inner South West,0.9994962,99.9496201,,,,,,,
2206,2206,120,Sydney - Inner West,0.0005038,0.0503777,,,,,,,
2207,2207,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2208,2208,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2209,2209,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2210,2210,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2211,2211,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2212,2212,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2213,2213,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2214,2214,119,Sydney - Inner South West,1.0,99.9999968,,,,,,,
2216,2216,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2217,2217,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2218,2218,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2219,2219,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2220,2220,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2221,2221,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2222,2222,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2223,2223,119,Sydney - Inner South West,1.0,100.0,,,,,,,
2224,2224,128,Sydney - Sutherland,1.0,99.9999992,,,,,,,
2225,2225,128,Sydney - Sutherland,1.0,100.0,,,,,,,
2226,2226,128,Sydney - Sutherland,1.0,100.0,,,,,,,
2227,2227,128,Sydney - Sutherland,1.0,100.0,,,,,,,
2228,2228,128,Sydney - Sutherland,1.0,100.0,,,,,,,
2229,2229,128,Sydney - Sutherland,1.0,100.0,,,,,,,
2230,2230,128,Sydney - Sutherland,1.0,100.0,,,,,,,
2231,2231,128,Sydney - Sutherland,1.0,100.0,,,,,,,
2232,2232,128,Sydney - Sutherland,1.0,100.0,,,,,,,
2233,2233,128,Sydney - Sutherland,1.0,99.9999999,,,,,,,
2234,2234,128,Sydney - Sutherland,1.0,99.9999995,,,,,,,
2250,2250,102,Central Coast,0.997451,99.7450999,,,,,,,
2250,2250,106,Hunter Valley exc Newcastle,0.0025186,0.2518627,,,,,,,
2251,2251,102,Central Coast,1.0,100.0,,,,,,,
2256,2256,102,Central Coast,1.0,100.0,,,,,,,
2257,2257,102,Central Coast,1.0,100.0,,,,,,,
2258,2258,102,Central Coast,1.0,100.0,,,,,,,
2259,2259,102,Central Coast,0.9395889,93.9588869,,,,,,,
2259,2259,111,Newcastle and Lake Macquarie,0.0604111,6.0411122,,,,,,,
2260,2260,102,Central Coast,1.0,100.0,,,,,,,
2261,2261,102,Central Coast,1.0,100.0,,,,,,,
2262,2262,102,Central Coast,1.0,100.0,,,,,,,
2263,2263,102,Central Coast,1.0,100.0,,,,,,,
2264,2264,111,Newcastle and Lake Macquarie,1.0,99.9999998,,,,,,,
2265,2265,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2267,2267,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2278,2278,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2280,2280,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2281,2281,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2282,2282,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2283,2283,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2284,2284,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2285,2285,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2286,2286,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2287,2287,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2289,2289,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2290,2290,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2291,2291,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2292,2292,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2293,2293,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2294,2294,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2295,2295,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2296,2296,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2297,2297,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2298,2298,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2299,2299,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2300,2300,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2302,2302,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2303,2303,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2304,2304,111,Newcastle and Lake Macquarie,0.9999278,99.9927847,,,,,,,
2305,2305,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2306,2306,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2307,2307,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2308,2308,111,Newcastle and Lake Macquarie,1.0,100.0,,,,,,,
2311,2311,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2312,2312,108,Mid North Coast,1.0,100.0,,,,,,,
2314,2314,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2315,2315,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2316,2316,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2317,2317,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2318,2318,106,Hunter Valley exc Newcastle,0.9742904,97.42904,,,,,,,
2318,2318,111,Newcastle and Lake Macquarie,0.0257096,2.57096,,,,,,,
2319,2319,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2320,2320,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2321,2321,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2322,2322,106,Hunter Valley exc Newcastle,0.5105486,51.0548638,,,,,,,
2322,2322,111,Newcastle and Lake Macquarie,0.4894514,48.9451362,,,,,,,
2323,2323,106,Hunter Valley exc Newcastle,0.9954094,99.5409424,,,,,,,
2323,2323,111,Newcastle and Lake Macquarie,0.0045906,0.4590576,,,,,,,
2324,2324,106,Hunter Valley exc Newcastle,0.9860559,98.6055922,,,,,,,
2324,2324,108,Mid North Coast,0.0139441,1.3944078,,,,,,,
2325,2325,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2326,2326,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2327,2327,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2328,2328,106,Hunter Valley exc Newcastle,1.0,99.9999988,,,,,,,
2329,2329,103,Central West,0.0133523,1.3352333,,,,,,,
2329,2329,106,Hunter Valley exc Newcastle,0.9866477,98.6647667,,,,,,,
2330,2330,106,Hunter Valley exc Newcastle,0.9999999,99.9999852,,,,,,,
2331,2331,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2333,2333,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2334,2334,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2335,2335,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2336,2336,106,Hunter Valley exc Newcastle,1.0,100.0,,,,,,,
2337,2337,106,Hunter Valley exc Newcastle,0.9999999,99.9999873,,,,,,,
2338,2338,106,Hunter Valley exc Newcastle,0.9643306,96.4330622,,,,,,,
2338,2338,110,New England and North West,0.0356694,3.5669378,,,,,,,
2339,2339,110,New England and North West,1.0,100.0,,,,,,,
2340,2340,110,New England and North West,1.0,99.9999978,,,,,,,
2341,2341,110,New England and North West,1.0,100.0,,,,,,,
2342,2342,110,New England and North West,1.0,100.0,,,,,,,
2343,2343,110,New England and North West,1.0,100.0,,,,,,,
2344,2344,110,New England and North West,1.0,100.0,,,,,,,
2345,2345,110,New England and North West,1.0,100.0,,,,,,,
2346,2346,110,New England and North West,1.0,100.0,,,,,,,
2347,2347,110,New England and North West,1.0,100.0,,,,,,,
2350,2350,110,New England and North West,1.0,100.0,,,,,,,
2351,2351,110,New England and North West,1.0,100.0,,,,,,,
2352,2352,110,New England and North West,1.0,100.0,,,,,,,
2353,2353,110,New England and North West,1.0,100.0,,,,,,,
2354,2354,110,New England and North West,0.9999997,99.9999722,,,,,,,
2355,2355,110,New England and North West,1.0,100.0,,,,,,,
2356,2356,110,New England and North West,1.0,100.0,,,,,,,
2357,2357,105,Far West and Orana,1.0,100.0,,,,,,,
2358,2358,110,New England and North West,1.0,100.0,,,,,,,
2359,2359,110,New England and North West,1.0,100.0,,,,,,,
2360,2360,110,New England and North West,1.0,100.0,,,,,,,
2361,2361,110,New England and North West,1.0,100.0,,,,,,,
2365,2365,110,New England and North West,0.9999997,99.9999717,,,,,,,
2369,2369,110,New England and North West,1.0,100.0,,,,,,,
2370,2370,104,Coffs Harbour - Grafton,0.0019838,0.1983768,,,,,,,
2370,2370,110,New England and North West,0.9980162,99.8016232,,,,,,,
2371,2371,110,New England and North West,1.0,100.0,,,,,,,
2372,2372,110,New England and North West,0.9986111,99.8611087,,,,,,,
2372,2372,307,Darling Downs - Maranoa,0.0013889,0.1388913,,,,,,,
2379,2379,105,Far West and Orana,0.4035364,40.3536439,,,,,,,
2379,2379,110,New England and North West,0.5964636,59.6463561,,,,,,,
2380,2380,110,New England and North West,1.0,100.0,,,,,,,
